id,news_url,title,tweet_ids
355,https://apublica.org/2018/09/truco-haddad-acerta-ao-falar-que-pobres-pagam-mais-impostos/,"Quem paga mais imposto no Brasil, proporcionalmente, é o pobre.",1643366578660995072	1641712041026023424	1641492315729539081	1633864634837901312	1632406149608755201	1629941691066007553	1626000907698569217	1625134829724475398
559,https://piaui.folha.uol.com.br/lupa/2019/07/11/verificamos-previdencia-rede/,"... Reforma da Previdência: homens - 65 anos, mulheres - 62 anos",1644034012145414157	1636560963569631233	1627786015590023168
680,https://piaui.folha.uol.com.br/lupa/2019/04/17/verificamos-lista-bolsonaro/,Exonerou seu próprio ministro,1638928350294216705
685,https://piaui.folha.uol.com.br/lupa/2019/04/17/verificamos-lista-bolsonaro/,Flexibilizou a posse de armas,1645093652035690496	1643667639049256973	1638829432545615873	1633202526584467461	1630218709355618304	1630053296529440769	1628698126818193408	1628487110771593216	1628443108181479425	1625706954743062528
1219,https://www.mixvale.com.br/2020/04/05/quem-pode-garantir-as-contribuicoes-no-inss-para-ter-a-aposentadoria/,403 Forbidden,1647022933012013056	1646994285672411137	1646989674605608960	1646982611519131650	1646978083398795267	1646960847644774419	1646957686758559746	1646957406255996928	1646922977190244352	1646916785193750528	1646915189676314624	1646901276033048579	1646900976060870658	1646900695491129344	1646894084835901442	1646889571144069122	1646888937955160064	1646887541327511555	1646887387937783811	1646885701236195329	1646883679048814594	1646869020145065984	1646860484337909760	1646858420799287297	1646852378958921733	1646849282123739139	1646843148407013380	1646828889703059456	1646806841136128000	1646805520253329409	1646801403493376002	1646801356244803585	1646737293913333762	1646736998424625154	1646736938722816001	1646736792278781953	1646736707239149570	1646736664889262080	1646736598589927424	1646736423012257792	1646736357652324353	1646736133512998912	1646736102936510465	1646736059789713408	1646735944471523328	1646724990262190080	1646693048301268992	1646692890444169217	1646692889097826308	1646692887575314433	1646687249805852674	1646664846073577472	1646649492702130177	1646647328948797443	1646631945756094465	1646620195203567616	1646572957278302208	1646516169569091584	1646447653784264704	1646438985907032065	1646427086779719683	1646425040265551874	1646404113305927683	1646398512618192898	1646392926908612609	1646392873020182528	1646374027504631809	1646327452556197889	1646326905648365571	1646308348474675200	1646307458653257729	1646295870491566083	1646290446342139907	1646284822325731329	1646276644427169792	1646257776526540802	1646212052606763020	1646193523232763904	1646181382689792000	1646168298839580676	1646167796848508930	1646167578727923712	1646154216396783618	1646148343096066052	1646147628537659392	1646136271973097472	1646133944247791616	1646129333172355073	1646115548386955264	1646115296409956352	1646111018966306818	1646096379855486977	1646089003853021190	1646087734707236865	1646082347182301186	1646079592262778881	1646079583014498304	1646076567934623745	1646074262048866304	1646073821886283777
1219,https://www.mixvale.com.br/2020/04/05/quem-pode-garantir-as-contribuicoes-no-inss-para-ter-a-aposentadoria/,403 Forbidden,1646070836628017152	1646064763766714369	1646064695969816576	1646063152650686464	1646062958026412032	1646062378088566784	1646060275366506498	1646050397386145792	1646047577224404992	1646040543556939776	1646032450982907904	1646028149753524225	1646012751872147457	1646006326160490496	1646000625153613824	1645999389926907906	1645993173754454016	1645989692259835910	1645975839807516673	1645972512973496320	1645954833407508482	1645942580872609792	1645917189239885824	1645906543676731394	1645906218303782913	1645895358851981314	1645887582579101696	1645885258124996617	1645884005621825538	1645883320750800896	1645869584732557317	1645866845851865117	1645866605757480961	1645860286971383808	1645859760452046848	1645858769367072770	1645858071128711168	1645858016313634817	1645857758171004928	1645856811206197248	1645856528128266258	1645855223582437376	1645851115899224064	1645850520295178240	1645848742275477511	1645848665695862785	1645846630984306698	1645844171683684352	1645842921391022085	1645842699084509185	1645829108801363968	1645824901897412608	1645822044721020928	1645821975003291649	1645819498774302720	1645819355794374661	1645813592468635649	1645808293456277509	1645807389969645569	1645803973117616132	1645794176314007557	1645782558247100418	1645781385200951298	1645779819429257216	1645771254555869185	1645767611483926531	1645765837545177088	1645765558963511297	1645763039235547137	1645747226986299393	1645744702636056577	1645737838418481152	1645731502183809025	1645726997551763456	1645726028214546435	1645714150406987776	1645712121819467776	1645706619303657473	1645695761663836161	1645693153566138368	1645692229749727233	1645691878434648065	1645687345029447682	1645685490904104960	1645677551702949889	1645675746785120256	1645673805732540416	1645673327082479618	1645672514318905347	1645658312334262272	1645657975242256384	1645651731832004608	1645649490429493249	1645648666143731714	1645642810572541958	1645632515238150144	1645624011014176772	1645621602191810560	1645619754336497665	1645613796466016258
1219,https://www.mixvale.com.br/2020/04/05/quem-pode-garantir-as-contribuicoes-no-inss-para-ter-a-aposentadoria/,403 Forbidden,1645611061192851456	1645605114835763200	1645601024206581760	1645600122737160194	1645596589526851585	1645595784669429760	1645593514053632001	1645591140350177280	1645589285649743872	1645586635822862337	1645580335739191296	1645579126198390787	1645575689557667841	1645573431851905024	1645569688318136320	1645568519193460737	1645561718981136384	1645561470435074049	1645559395697455104	1645548002063400961	1645542223017066498	1645532942448435204	1645523498914250756	1645515755293736983	1645505245806559246	1645504260329869312	1645501070112694305	1645500667891687425	1645499799897264135	1645492848631087104	1645483835470098433	1645476492107808768	1645474304820396037	1645474226290163714	1645451704056553473	1645448040231358464	1645437811539992576	1645433985902821377	1645426860598099968	1645426591655432195	1645423582846267392	1645418720708157442	1645403451357052928	1645402480925089792	1645399047522459650	1645386995248644096	1645377568739143681	1645376969469558786	1645351733759991810	1645345362096390144	1645331525880233984	1645322128944951297	1645307072517656576	1645284538627633154	1645284172800610306	1645284088767709187	1645278163113746432	1645272893683556353	1645270416725016579	1645261448552267776	1645260466573156354	1645244407816519682	1645217792071811073	1645170525100965889	1645116768304742400	1645116700147195911	1645093375337705474	1645084626132832256	1645077161068605440	1645061787178655744	1645059354062725120	1645054885577228288	1645047521868410880	1645044974717906944	1645041373756923907	1645012888309092359	1645009596942282752	1644989316626538496	1644979421500297216	1644973449696141312	1644946279401930754	1644934955049394176	1644932998175899648	1644931111276122113	1644928784880025609	1644919707571732481	1644906914290225153	1644892678935699457	1644880701307731970	1644877110555869184	1644857815813754880	1644857214706884610	1644815821561032704	1644808182689046528	1644805483721523201	1644785400035065856	1644782508809105427	1644781852614438915	1644766455106502656
1219,https://www.mixvale.com.br/2020/04/05/quem-pode-garantir-as-contribuicoes-no-inss-para-ter-a-aposentadoria/,403 Forbidden,1644759524702834688	1644753756142305280	1644752047873593344	1644747155595304961	1644746645106733056	1644738705725476864	1644731244822020097	1644719864966422528	1644719723626766337	1644717266054041600	1644711064024522756	1644702704734969861	1644702489864990724	1644702382000070664	1644701207338840067	1644696178863517696	1644694515658178560	1644685918500974593	1644681881823084545	1644680038426742784	1644678803845775361	1644675528975065089	1644662171635204096	1644652731523538944	1644650354406203394	1644648830246481921	1644648507922587648	1644646308014346241	1644642036090540033	1644635064192606209	1644633308658270208	1644626974332125187	1644618472784293893	1644610279781859328	1644609792055336960	1644606261974175744	1644601792217628672	1644599125424365568	1644595243805818883	1644589672906231808	1644589118507319296	1644584643109310467	1644584113234677761	1644583973723463680	1644570418538328064	1644563845082648577	1644559176759226374	1644555885166104576	1644554488315883523	1644553691771404289	1644539374590197761	1644538265137995776	1644536948910956544	1644534215655165952	1644527420660121602	1644525490244395009	1644522791344160768	1644522535948779520	1644496291890872322	1644490149492051970	1644481710011056130	1644476691509837824	1644475196307394561	1644462301498470403	1644455566960472064	1644453377554644999	1644452909810081792	1644451345540468737	1644449261650624513	1644445765270482945	1644425845967056907	1644410325893095424	1644405031851151360	1644371237500780545	1644359968232202241	1644355841066434561	1644355020236939272	1644351697593180160	1644351564122042370	1644346536942505984	1644346322403885056	1644343540959543296	1644343400743972869	1644340431839440896	1644340394573066242	1644339299289276416	1644339290103758850	1644338402551033857	1644338347509420032	1644337648809693185	1644335691164438531	1644325903382773763	1644324889858387969	1644324327414964225	1644324155158822914	1644319312369561601	1644293775626215426	1644288779916836866	1644286977150443520
1219,https://www.mixvale.com.br/2020/04/05/quem-pode-garantir-as-contribuicoes-no-inss-para-ter-a-aposentadoria/,403 Forbidden,1644286310990094336	1644281994371805184	1644281507639611393	1644278511207686150	1644264774207959042	1644264738577166336	1644259754712367104	1644255940877733888	1644254103504138241	1644253289050144769	1644253198184779776	1644231534919012353	1644225025220968449	1644224592733429760	1644219876565975041	1644218175427575808	1644134158669852674	1644107764849860609	1644096966127697920	1644095047028346881	1644090463123566592	1644083530840911872	1644035316947501056	1644023006682042368	1644018989259956236	1644013087761272833	1644002734851637249	1643999866811740162	1643991985236353028	1643991933294100492	1643978333250797569	1643977086607192068	1643952112005439489	1643923175468863489	1643921778027134978	1643906694764965889	1643904580470681601	1643902321498136581	1643901726746107904	1643888991576498176	1643886301270142976	1643884673263624193	1643883863775617025	1643882841330130946	1643875658056216577	1643869938816262144	1643864599144300545	1643863838935367680	1643851555702034432	1643846738107863040	1643832786036432896	1643829230902599680	1643813248792133639	1643798639351930881	1643787553252986880	1643787494608064519	1643767732293488640	1643753499451334656	1643745015372599296	1643742334214086661	1643733790290849796	1643725841950720000	1643721113032065026	1643717991413039105	1643712667842904064	1643702823945904135	1643699200465461255	1643694053526056960	1643686748940115968	1643685939758211087	1643682136887808001	1643679431461072896	1643666550665117712	1643665041005359105	1643654771201695744	1643651755656486912	1643644387853996038	1643638658652577793	1643633778827436032	1643630417885396992	1643629883107540993	1643628866353655811	1643624060012699652	1643616832358580225	1643616302408384514	1643604986369294337	1643604599255990276	1643601561833095173	1643600900337049601	1643599710366695424	1643593427265937408	1643587663944093696	1643584000412520450	1643578367411904512	1643574100332539904	1643566117582155777
1219,https://www.mixvale.com.br/2020/04/05/quem-pode-garantir-as-contribuicoes-no-inss-para-ter-a-aposentadoria/,403 Forbidden,1643564382746451969	1643558669924339713	1643555753318584320	1643555658548273153	1643554334372945920	1643550858075049988	1643548096679354369	1643546767957569536	1643546296320675840	1643539904188628992	1643539556958982145	1643533196972412931	1643525603650596866	1643524419606941699	1643515407851208704	1643512175070257155	1643509461892595712	1643503137276448768	1643500765913444357	1643499866210074624	1643499138120839168	1643498670149750784	1643497860703600640	1643494281683034112	1643490829628231682	1643488702583443456	1643488438015119360	1643486884038066179	1643485131624321025	1643481454637359106	1643481205718011906	1643479978963791876	1643473506045403137	1643464000569737218	1643463959855648769	1643463357004156928	1643456604636065792	1643455545347825664	1643454200322617346	1643451199465885696	1643450158418624512	1643448576457199616	1643446232747237377	1643443316812574720	1643443230594195459	1643442864356212736	1643437302000259072	1643436897530945536	1643425847288766469	1643418976444186625	1643418486365097984	1643417530466435072	1643414264416440320	1643411187466637312	1643397397299761152	1643396514151288832	1643393480084058112	1643384916355448832	1643371828646416384	1643362617409282050	1643358695814844416	1643357880144519168	1643353162982789120	1643339105739341824	1643337748189962240	1643335311747960836	1643321718692536321	1643315691951386627	1643315431996809216	1643309527155220480	1643308484455452672	1643307678893056000	1643307585544802304	1643306540403679238	1643305561897721880	1643305272407109633	1643303086947983366	1643300899811385348	1643298969894674442	1643297163454345216	1643289710830182400	1643286670144585728	1643281865284132864	1643275291975090176	1643272155902164994	1643270317853294599	1643263687933976576	1643252539406848003	1643248067179847685	1643245878080331776	1643230807925067776	1643225313701400583	1643223648029868033	1643210947002003459	1643182003171237888	1643177486321082368	1643156647580409856	1643131780923375617
